username,time,tweet_text
realgoebs,2022-04-26 23:49:53+00:00,b'Gone with the wind! Disappeared in the slap at the Oscars and war on Disney! https://t.co/eKxSPnmX0W'
henjum74,2022-04-26 23:49:50+00:00,"b'RT @inlauvperry: Cancel culture really is the weirdest thing, Will Smith is cancelled for hitting Chris Rock at the Oscars but Amber Heard\xe2\x80\xa6'"
oceansjonas,2022-04-26 23:49:46+00:00,b'don\xe2\x80\x99t worry darling coming for oscars'
sheiaaa623,2022-04-26 23:48:55+00:00,b'RT @stardustRodrigo: @FilmUpdates All the oscars incoming https://t.co/BVO5LhckFB'
QuinCunning,2022-04-26 23:47:59+00:00,b'This is going to SWEEP the Oscars https://t.co/oMV6B6JdbA'
cigarette14_,2022-04-26 23:47:39+00:00,"b'RT @inlauvperry: Cancel culture really is the weirdest thing, Will Smith is cancelled for hitting Chris Rock at the Oscars but Amber Heard\xe2\x80\xa6'"
Sp00kyAngie,2022-04-26 23:47:31+00:00,b'RT @adorenxtasha: remember when chris evans caught henry cavil eating cookies at oscars \xf0\x9f\x92\x80 https://t.co/5DvhY4kj77'
hrssantana,2022-04-26 23:47:26+00:00,b'RT @Dream: I need twitter likes:\n\nWill Smith slapped Chris Rock at Oscars'
ohkayer,2022-04-26 23:46:54+00:00,b'her name being engraved into the oscars as we speak https://t.co/GCp7m3fgPX'
oscars_central,2022-04-26 23:46:19+00:00,"b'Sooo #FilmTwitter we have #Barbie and #Oppenheimer releasing the same day on 7/21/23\xe2\x80\xa6you can only see one, which film are you seeing?'"
KIWlSANGEL,2022-04-26 23:46:19+00:00,b'harry and timmy and the oscars together https://t.co/reb3877IfJ'
Rex44388079,2022-04-26 23:46:15+00:00,b'RT @ivery5000: @Obertson @CheriJacobus @SethAbramson @DanRather @DebraMessing @RepAdamSchiff @RepSwalwell @MiaFarrow @DrDenaGrayson @JillWi\xe2\x80\xa6'
barnwickgeorge,2022-04-26 23:45:39+00:00,b'RT @GiannisAMess: Throwback to when Dolly Parton tore it UP at the Oscars singing her Oscar-nominated song \xe2\x80\x9cTravelin Thru\xe2\x80\x9d about the life a\xe2\x80\xa6'
artofdominique,2022-04-26 23:45:26+00:00,b'MY GIRL LOOKS PERFECT THE OSCARS ARE BEING DUSTED OFF AS WE SPEAK https://t.co/eJTUidiAyu'
DoctorWillSmith,2022-04-26 23:44:55+00:00,b'Tell the truth! Tell the truth! #Oscars'
valesantilopezz,2022-04-26 23:44:20+00:00,b'RT @stardustRodrigo: @FilmUpdates All the oscars incoming https://t.co/BVO5LhckFB'
BeastlyEsoteric,2022-04-26 23:44:18+00:00,b'RT @driverminnie: Weird vibe after\xe2\x80\xa6 so we had a dance. #Oscars https://t.co/XVbR4CKm4r'
argfilm,2022-04-26 23:44:06+00:00,b'RT @stardustRodrigo: @FilmUpdates All the oscars incoming https://t.co/BVO5LhckFB'
danieltheedime,2022-04-26 23:44:06+00:00,b'@FilmUpdates oscars incoming for half of hollywood'
goldassfang,2022-04-26 23:43:52+00:00,"b""RT @oscarsclip: Nicole Kidman, 'Rabbit Hole' (Best Actress, 2010) #Oscars #oscarsclip https://t.co/p57eD8eLAP"""
AgusZapata,2022-04-26 23:43:21+00:00,b'RT @ErikDavis: Notes on Sony\xe2\x80\x99s #CinemaCon presentation: \n- #AcrossTheSpiderVerse footage was the big winner. Everyone walking out is RAVING\xe2\x80\xa6'
ErwinHavranek,2022-04-26 23:43:00+00:00,b'@caroljsroth The Circus.  The Oscars.  CNN anchor interview.'
PunitaLalla62,2022-04-26 23:42:28+00:00,"b'RT @billieeilish: Watch Billie\'s performance of ""No Time To Die"", the Academy Award-winning @007 theme song, at the 94th #Oscars. @TheAcade\xe2\x80\xa6'"
TPZOMBIE20,2022-04-26 23:42:19+00:00,b'RT @CassanovaHefner: This Slap better than the Oscars. HANDS DOWN! \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8 https://t.co/VorceYAWmg'
TeflonDaDom,2022-04-26 23:42:11+00:00,b'The Monday after the Oscars was a lot of fun for exactly 4 hours https://t.co/H5WT23GBjs'
oscars_central,2022-04-26 23:41:14+00:00,b'Cmon #Barbie let\xe2\x80\x99s go party 7/21/23 \xf0\x9f\x92\x8b https://t.co/vpORqIqnMb'
mytholgys,2022-04-26 23:40:46+00:00,b'Oscars incoming .. https://t.co/pMIPu3gRKW'
chimichangoboom,2022-04-26 23:40:45+00:00,"b""RT @SophieBmisham: @AroundMyCitys \xf0\x9f\x92\xaf especially celebs who received an #Oscar (or wish to in the future)\nWithout MOVIE THEATRES there'll be\xe2\x80\xa6"""
FreedomHonor666,2022-04-26 23:40:32+00:00,"b'""At your highest moment, be careful, that\'s when the devil comes for you.""\n\nDENZEL WASHINGTON\n\nExplains \'Devil\' Quo\xe2\x80\xa6 https://t.co/5NsaneyIXv'"
